business_tag,tag_group,description
networking,Technology,Develops networking technologies supporting digital connectivity.
networking_equipment,Technology,"Designs, manufactures and supplies networking equipment and communications hardware."
news_media,Media & Entertainment,Produces and distributes news and journalism across multiple media platforms.
news_services,Media & Entertainment,"Provides news, information and media services."
nutrition,Consumer,Develops nutrition products supporting consumer health and wellness.
office_property,Real Estate,"Owns, develops and manages office real-estate assets."
offshore_energy,Energy,"Explores, develops and operates offshore energy assets."
oil_gas,Energy,"Explores, produces,  refines and markets oil and natural gas."
oil_gas_royalties,Energy,Owns and manages royalty interests in oil and gas assets.
oilfield_equipment,Energy,"Designs, manufactures and supplies oilfield equipment."
oilfield_services,Energy,"Provides engineering, drilling and operational services to the oil and gas industry."
online_gaming,Media & Entertainment,Develops and operates online gaming and interactive entertainment platforms.
orthopaedics,Healthcare,"Develops orthopaedic implants, devices and musculoskeletal healthcare solutions."
outerwear,Consumer,"Designs, manufactures and markets outerwear and performance apparel."
packaging,Materials,Develops and manufactures packaging products and packaging solutions.
paper_products,Materials,"Manufactures paper, tissue and related paper-based products."
parcel_delivery,Transportation,"Provides parcel collection, distribution and delivery services."
passenger_transport,Transportation,Provides passenger transportation services across multiple transport modes.
payment_networks,Financial Technology,Operates payment networks supporting electronic transactions.
payment_processing,Financial Technology,Processes electronic payments and financial transactions.
payments,Financial Technology,"Provides payment products, platforms and transaction services."
payroll,Professional Services,Provides payroll processing and workforce payment services.
payroll_software,Technology,Develops payroll and workforce management software.
pensions,Financial Services,"Provides pension products, retirement planning and pension administration services."
personal_care,Consumer,"Develops, manufactures and markets personal care products."
pest_control,Professional Services,Provides pest control and environmental hygiene services.
pet_food,Consumer,"Develops, manufactures and markets pet food products."
pet_products,Consumer,"Develops, manufactures and markets pet care and companion animal products."
petrochemicals,Materials,Produces petrochemicals and chemical feedstocks.
pharmaceutical_distribution,Healthcare,Distributes pharmaceutical products to healthcare providers and pharmacies.
pharmaceuticals,Healthcare,"Researches, develops,  manufactures and markets pharmaceutical products."
pharmacy_benefits,Healthcare,Provides pharmacy benefit management and prescription administration services.
pharmacy_retail,Retail,Operates pharmacy and healthcare retail businesses.
photonics,Technology,"Develops photonics, optical technologies and laser systems."
physical_security,Security & Safety,"Develops physical security systems, surveillance and protection technologies."
pipeline_infrastructure,Energy,"Owns, develops and operates energy pipeline infrastructure."
pipelines,Energy,"Owns and operates pipeline networks transporting oil, gas and related products."
plasma_therapeutics,Healthcare,Develops plasma-derived therapies and specialty biopharmaceutical products.
pool_equipment,Consumer,"Designs, manufactures and supplies swimming pool equipment and systems."
portfolio_management,Financial Services,Provides portfolio management and investment management services.
postal_services,Transportation,"Provides postal delivery, mail and logistics services."
power_cables,Industrials,"Designs, manufactures and supplies electrical power cables and transmission systems."
power_generation,Utilities,Generates electricity through conventional and renewable energy sources.
power_management,Industrials,Develops technologies managing electrical power distribution and efficiency.
power_semiconductors,Technology,Designs and manufactures power semiconductor devices.
power_systems,Industrials,Develops integrated electrical power systems and industrial energy solutions.
powertrain_systems,Automotive,Develops vehicle powertrain systems and propulsion technologies.
precious_metals,Materials,"Explores, develops and produces precious metals and related resources."
precision_instruments,Industrials,"Designs, manufactures and supplies precision instruments and measurement technologies."
printing,Technology,"Develops printing technologies, equipment and document solutions."
private_banking,Financial Services,Provides private banking and wealth management services.
private_credit,Financial Services,Provides private credit financing and alternative lending solutions.
private_equity,Financial Services,Invests in and manages private equity investment strategies.
product_lifecycle_management,Technology,Develops software supporting product lifecycle management and engineering processes.
property_casualty,Financial Services,Provides property and casualty insurance products.
property_development,Real Estate,"Develops residential, commercial and mixed-use property projects."
property_management,Real Estate,Provides property management and real-estate operational services.
property_technology,Real Estate,Develops digital technologies supporting property ownership and management.
protein,Consumer,Develops and manufactures protein ingredients and nutrition products.
public_safety,Government & Public Services,Provides products and services supporting public safety and emergency response.
public_safety_technology,Government & Public Services,"Develops technologies supporting public safety, emergency services and law enforcement."
publishing,Media & Entertainment,"Publishes books, journals,  educational and digital content."
quality_assurance,Professional Services,"Provides quality assurance, testing and certification services."
rail_equipment,Transportation,"Designs, manufactures and supplies railway equipment and rolling stock."
rail_logistics,Transportation,Provides rail-based freight logistics and transport services.
rail_transport,Transportation,Provides passenger and freight rail transportation services.
rare_diseases,Healthcare,"Researches, develops and commercialises therapies for rare diseases."
real_estate_development,Real Estate,"Develops residential, commercial and mixed-use real estate projects."
real_estate_services,Real Estate,"Provides real estate advisory, brokerage and property services."
recycling,Materials,"Collects, processes and recycles industrial and consumer materials."
refining,Energy,Processes crude oil and other feedstocks into refined energy products.
reinsurance,Financial Services,Provides reinsurance and specialist risk transfer solutions.
renal_care,Healthcare,Develops products and services supporting renal care and kidney treatment.
renewable_energy,Energy,"Develops, generates and operates renewable energy assets."
renewable_fuels,Energy,"Develops, produces and supplies renewable fuel products."
research_services,Professional Services,"Provides research, analytical and specialist advisory services."
reservation_systems,Technology,"Develops reservation, booking and scheduling software platforms."
residential_construction,Construction & Infrastructure,Develops and constructs residential housing and communities.
residential_real_estate,Real Estate,"Owns, develops and manages residential real estate assets."
resorts,Consumer,"Owns, operates and manages resort and leisure destinations."
restaurants,Consumer,"Owns, operates and franchises restaurant businesses."
retail,Retail,Operates businesses selling goods and services directly to consumers.
retail_banking,Financial Services,Provides retail banking and personal financial services.
retail_property,Real Estate,"Owns, develops and manages retail property assets."
retail_real_estate,Real Estate,"Owns, develops and manages retail-focused real estate assets."
retirement_services,Financial Services,"Provides retirement planning, pension administration and retirement solutions."
rf_components,Technology,Designs and manufactures radio frequency components and communication technologies.
risk_analytics,Financial Services,Develops risk analytics and financial risk management solutions.
risk_management,Financial Services,"Provides risk management products, technologies and advisory services."
road_freight,Transportation,Provides road freight transportation and logistics services.
robotic_surgery,Healthcare,Develops robotic surgical systems and healthcare technologies.
robotics,Technology,"Develops robotic systems, automation technologies and intelligent machines."
safety_technology,Security & Safety,"Develops technologies supporting workplace, industrial and public safety."
satellite_communications,Communication Services,Provides satellite communications and connectivity services.
satellites,Aerospace & Defence,"Designs, manufactures and operates satellite systems and space infrastructure."
self_storage,Real Estate,"Owns, develops and manages self-storage real estate facilities."
semiconductor_analytics,Technology,Develops analytics and software supporting semiconductor design and manufacturing.
semiconductor_design,Technology,Designs semiconductor devices and integrated circuits.
semiconductor_design_software,Technology,Develops software supporting semiconductor and integrated circuit design.
semiconductor_equipment,Technology,Designs and manufactures equipment used in semiconductor fabrication.
semiconductor_materials,Materials,Produces specialised materials used in semiconductor manufacturing.
semiconductors,Technology,"Designs, manufactures and supplies semiconductor devices."
senior_housing,Real Estate,"Owns, develops and manages senior housing and retirement communities."
sensors,Technology,Designs and manufactures sensing technologies and intelligent sensor systems.
server_hardware,Technology,Designs and manufactures enterprise server hardware and computing systems.
shipbuilding,Transportation,"Designs, constructs and maintains commercial and specialist vessels."
shopping_centres,Real Estate,"Owns, develops and manages shopping centre real estate."
silver_mining,Materials,"Explores, develops and produces silver resources."
simulation,Technology,"Develops simulation, modelling and digital engineering software."
smart_infrastructure,Construction & Infrastructure,Develops intelligent infrastructure technologies supporting connected buildings and cities.
snack_foods,Consumer,"Develops, manufactures and markets snack food products."
snacks,Consumer,"Develops, manufactures and markets snack food and convenience products."
social_platforms,Media & Entertainment,Develops and operates social networking and digital community platforms.
solar_energy,Energy,"Develops, generates and operates solar energy projects."
space,Aerospace & Defence,"Develops space systems, exploration technologies and orbital infrastructure."
space_technology,Aerospace & Defence,Develops technologies supporting commercial and government space activities.
specialty_chemicals,Materials,Develops and manufactures specialty chemical products and advanced chemical solutions.
spirits,Consumer,"Produces, markets and distributes distilled spirit beverages."
sports_media,Media & Entertainment,"Produces and distributes sports media, broadcasting and digital sports content."
sports_retail,Retail,Operates retail businesses specialising in sporting goods and equipment.
sportswear,Consumer,"Designs, manufactures and markets sportswear and athletic apparel."
steel,Materials,"Produces, processes and supplies steel products."
steel_tubing,Materials,Manufactures steel tubing and engineered steel products.
sterilisation,Healthcare,Develops sterilisation products and infection prevention technologies.
streaming,Media & Entertainment,Develops and operates digital streaming platforms and content services.
supply_chain,Industrials,Develops solutions supporting supply chain management and industrial logistics.
supply_chain_services,Industrials,"Provides supply chain, procurement and operational support services."
surgical_equipment,Healthcare,"Designs, manufactures and supplies surgical instruments and operating theatre equipment."
technology_distribution,Technology,"Distributes technology products, hardware,  software and digital solutions."
technology_investing,Financial Services,Invests in technology businesses and technology-focused investment strategies.
technology_platforms,Technology,Develops and operates technology platforms supporting digital products and services.
technology_reseller,Technology,"Resells and integrates technology hardware, software and IT solutions."
telecommunications,Communication Services,Provides telecommunications and communications network services.
telecommunications_infrastructure,Communication Services,"Owns, develops and operates telecommunications infrastructure."
television,Media & Entertainment,"Produces, broadcasts and distributes television content and services."
testing_certification,Professional Services,"Provides testing, inspection and certification services."
theme_parks,Consumer,"Owns, operates and manages theme parks and leisure attractions."
thermal_management,Industrials,Develops thermal management technologies for industrial and electronic applications.
ticketing,Media & Entertainment,Develops and operates ticketing platforms and event access services.
timber,Materials,"Produces, processes and supplies timber and wood products."
tobacco,Consumer,"Produces, manufactures and markets tobacco products."
tobacco_products,Consumer,"Develops, manufactures and distributes tobacco and nicotine products."
towers,Communication Services,"Owns, develops and operates telecommunications tower infrastructure."
toys_games,Consumer,"Designs, manufactures and markets toys and games."
trading_platforms,Financial Technology,Develops electronic trading platforms for financial markets.
transportation,Transportation,"Provides transportation services across passenger, freight and logistics markets."
transportation_infrastructure,Transportation,"Owns, develops and operates transportation infrastructure assets."
travel_services,Consumer,"Provides travel, tourism and booking services."
travel_technology,Technology,Develops technology platforms supporting travel and tourism services.
tyres,Automotive,"Designs, manufactures and supplies tyres and related vehicle products."
urban_development,Construction & Infrastructure,Develops large-scale urban regeneration and infrastructure projects.
utilities,Utilities,"Provides essential utility services including electricity, gas and water."
vaccines,Healthcare,"Researches, develops and manufactures vaccines for human and animal health."
vehicle_finance,Financial Services,Provides financing and leasing solutions for vehicle purchases.
vertical_software,Technology,Develops software designed for specific industries and business sectors.
veterinary_health,Healthcare,Develops products and services supporting animal health and veterinary care.
video_security,Security & Safety,"Develops video surveillance, monitoring and security technologies."
vision_care,Healthcare,Develops products and technologies supporting vision care and eye health.
waste_management,Utilities,"Provides waste collection, recycling and environmental management services."
wastewater,Utilities,"Provides wastewater collection, treatment and environmental services."
water_infrastructure,Utilities,"Owns, develops and operates water infrastructure assets."
water_technology,Utilities,"Develops technologies supporting water treatment, monitoring and distribution."
water_treatment,Utilities,Provides water treatment systems and purification technologies.
water_utilities,Utilities,Provides regulated water supply and distribution services.
wealth_management,Financial Services,Provides wealth management and private client investment services.
weapons_systems,Aerospace & Defence,Develops weapons systems and defence technologies.
wearables,Technology,"Designs, manufactures and markets wearable technology devices."
web_hosting,Technology,"Provides web hosting, cloud hosting and internet infrastructure services."
wellness,Consumer,"Develops products and services supporting health, wellness and lifestyle."
wholesale,Industrials,Provides wholesale distribution of products across multiple industries.
wholesale_distribution,Industrials,Provides wholesale distribution and supply-chain services.
wine,Consumer,"Produces, markets and distributes wine products."
wines_spirits,Consumer,"Produces, markets and distributes wines and distilled spirits."
wireless,Communication Services,Provides wireless communications products and services.
wireless_networks,Communication Services,Develops and operates wireless communications networks.
workflow_automation,Technology,Develops workflow automation software and business process technologies.
workplace_services,Professional Services,"Provides workplace management, facilities and business support services."
wound_care,Healthcare,Develops wound care products and advanced healing technologies.
